CustomerID,Age,City,SignupDate,CustomerSegment
100001,22,Tehran,11-09-2023,Regular
100002,55,Tabriz,16-01-2024,VIP
100003,49,Karaj,31-07-2025,New
100004,39,Tehran,23-04-2023,New
100005,38,Tehran,29-04-2023,Regular
100006,59,Isfahan,27-11-2023,Regular
100007,22,Karaj,22-10-2024,Regular
100008,51,Tabriz,02-06-2025,Regular
100009,27,Karaj,08-09-2024,Regular
100010,,Mashhad,24-06-2024,New
100011,,Tehran,11-08-2025,Regular
100012,64,Shiraz,07-07-2023,Regular
100013,53,Tehran,14-09-2025,Regular
100014,54,Karaj,09-12-2023,Regular
100015,52,Tehran,30-10-2023,New
100016,55,Mashhad,10-11-2025,New
100017,,Isfahan,08-12-2024,Regular
100018,24,Isfahan,17-04-2024,Regular
100019,58,Tabriz,28-12-2023,Regular
100020,39,Isfahan,28-04-2024,Regular
100021,42,Rasht,16-05-2025,Regular
100022,35,Ahvaz,17-06-2023,Regular
100023,26,Ahvaz,10-07-2023,New
100024,62,Tabriz,30-11-2023,New
100025,55,Tabriz,12-06-2024,Regular
100026,48,Tabriz,11-06-2025,New
100027,37,Isfahan,19-08-2023,New
100028,57,Mashhad,10-05-2025,New
100029,44,Shiraz,20-09-2025,Regular
100030,39,Tehran,21-04-2024,New
100031,39,Tehran,18-11-2025,New
100032,28,Ahvaz,05-09-2025,Regular
100033,22,Tehran,22-05-2025,Regular
100034,44,Shiraz,21-02-2024,New
100035,60,Tabriz,26-11-2023,Regular
100036,21,Tehran,04-08-2025,Regular
100037,59,Rasht,28-04-2024,Regular
100038,57,Tehran,04-02-2023,Regular
100039,31,Ahvaz,24-02-2025,New
100040,48,Karaj,16-01-2024,New
100041,25,Tehran,21-10-2025,Regular
100042,54,Tehran,25-07-2025,New
100043,51,Mashhad,25-04-2023,VIP
100044,35,Mashhad,13-09-2025,New
100045,21,Tehran,05-11-2025,Regular
100046,64,Kerman,08-04-2025,Regular
100047,39,Tehran,29-10-2023,Regular
100048,60,Ahvaz,03-01-2025,New
100049,50,Tehran,08-08-2025,New
100050,55,Kerman,11-06-2025,Regular
100051,54,Tehran,17-04-2024,New
100052,27,Isfahan,13-02-2025,Regular
100053,35,Shiraz,27-02-2024,Regular
100054,40,Tehran,06-10-2023,New
100055,41,Qom,06-01-2025,Regular
100056,20,Tehran,25-05-2024,New
100057,44,Shiraz,04-09-2023,Regular
100058,25,Shiraz,24-12-2024,VIP
100059,53,Tabriz,19-12-2023,Regular
100060,50,Tehran,05-10-2024,VIP
100061,62,Tehran,31-01-2024,Regular
100062,53,tehran,27-08-2025,New
100063,35,,20-07-2025,New
100064,64,Tehran,02-06-2024,New
100065,37,Rasht,16-02-2025,Regular
100066,33,Shiraz,14-07-2023,Regular
100067,61,Tabriz,28-12-2025,Regular
100068,35,Mashhad,23-08-2023,Regular
100069,21,Tehran,07-08-2025,Regular
100070,40,Isfahan,15-07-2025,New
100071,56,Mashhad,15-07-2023,New
100072,27,Mashhad,10-01-2023,VIP
100073,40,Isfahan,18-03-2025,New
100074,24,Isfahan,09-08-2025,New
100075,50,Kerman,23-02-2025,New
100076,40,Tehran,02-03-2023,VIP
100077,33,Isfahan,07-12-2024,New
100078,28,Tehran,04-03-2024,Regular
100079,45,Mashhad,29-09-2025,New
100080,50,Karaj,26-05-2025,New
100081,63,Tehran,24-05-2025,Regular
100082,38,Shiraz,22-03-2024,Regular
100083,25,Isfahan,19-12-2023,Regular
100084,57,Tehran,19-06-2025,New
100085,48,Rasht,07-05-2023,VIP
100086,51,Isfahan,20-04-2023,Regular
100087,22,Qom,10-03-2023,VIP
100088,32,Isfahan,14-07-2024,New
100089,54,Rasht,24-03-2023,Regular
100090,57,Mashhad,29-09-2024,New
100091,38,Isfahan,03-07-2023,Regular
100092,56,Karaj,02-09-2025,Regular
100093,58,Mashhad,18-04-2024,Regular
100094,36,tehran,13-04-2023,New
100095,61,tehran,29-01-2025,New
100096,31,Shiraz,06-01-2024,New
100097,29,Karaj,14-10-2023,Regular
100098,50,Tabriz,22-12-2024,New
100099,48,Qom,12-11-2025,New
100100,24,Ahvaz,09-12-2025,Regular
100101,57,tehran,21-04-2024,New
100102,27,Mashhad,17-07-2025,VIP
100103,56,Tehran,18-08-2023,New
100104,18,Tabriz,15-07-2025,VIP
100105,56,Qom,28-10-2025,Regular
100106,55,Isfahan,20-07-2024,Regular
100107,55,Tehran,26-07-2024,Regular
100108,49,Mashhad,09-09-2024,Regular
100109,40,Isfahan,21-03-2023,Regular
100110,51,Ahvaz,29-07-2025,New
100111,31,Tehran,18-03-2025,VIP
100112,55,Tabriz,10-08-2025,Regular
100113,44,Karaj,07-05-2023,Regular
100114,40,Rasht,28-05-2025,Regular
100115,42,Tehran,02-02-2024,Regular
100116,45,Rasht,15-06-2025,Regular
100117,19,Tabriz,24-12-2025,Regular
100118,24,Karaj,21-08-2025,New
100119,29,Tehran,29-09-2025,Regular
100120,23,Isfahan,05-05-2023,New
100121,39,Tabriz,26-12-2023,Regular
100122,50,Mashhad,17-11-2023,New
100123,49,Isfahan,16-07-2024,VIP
100124,40,Shiraz,04-12-2025,Regular
100125,59,,20-01-2025,Regular
100126,45,Tehran,19-08-2024,VIP
100127,21,Isfahan,31-05-2025,New
100128,54,Tehran,13-07-2023,Regular
100129,45,Rasht,24-12-2024,New
100130,48,Kerman,04-07-2024,New
100131,45,Mashhad,11-08-2023,Regular
100132,44,Tehran,08-12-2024,Regular
100133,22,Tehran,09-07-2025,Regular
100134,44,Isfahan,25-06-2025,New
100135,56,Ahvaz,12-07-2025,Regular
100136,32,Isfahan,08-06-2025,New
100137,46,Tehran,28-05-2024,New
100138,19,Tehran,23-02-2023,New
100139,34,Tehran,23-11-2025,Regular
100140,38,Ahvaz,11-05-2024,Regular
100141,65,Tabriz,23-11-2024,New
100142,28,Shiraz,23-01-2023,New
100143,31,Mashhad,31-08-2025,Regular
100144,37,Rasht,30-08-2025,Regular
100145,65,Mashhad,13-10-2025,New
100146,58,Ahvaz,10-07-2023,Regular
100147,19,Rasht,12-07-2025,Regular
100148,29,Isfahan,15-11-2024,Regular
100149,57,Rasht,09-06-2023,New
100150,20,Tehran,16-09-2024,VIP
100151,59,Tabriz,05-06-2024,Regular
100152,31,Tehran,15-11-2024,Regular
100153,62,Isfahan,02-04-2023,Regular
100154,,Tehran,08-09-2024,Regular
100155,38,Tehran,11-01-2025,Regular
100156,49,Tehran,22-02-2025,Regular
100157,24,Mashhad,22-04-2025,New
100158,44,Shiraz,16-11-2024,Regular
100159,42,Isfahan,07-02-2025,New
100160,55,Mashhad,09-04-2023,Regular
100161,,Kerman,23-05-2025,Regular
100162,49,Rasht,06-02-2024,New
100163,37,Tehran,22-08-2024,Regular
100164,37,Mashad,21-08-2024,Regular
100165,38,Tabriz,04-12-2025,Regular
100166,57,Karaj,23-12-2023,Regular
100167,33,Mashhad,25-02-2024,New
100168,26,Mashad,12-04-2025,New
100169,34,Tehran,25-11-2024,Regular
100170,19,Mashhad,15-12-2023,Regular
100171,23,Karaj,13-01-2024,Regular
100172,22,Tabriz,26-06-2025,VIP
100173,55,Ahvaz,04-07-2025,Regular
100174,52,Tehran,10-06-2023,Regular
100175,51,Tehran,13-03-2024,Regular
100176,40,Tehran,22-04-2025,VIP
100177,52,Tehran,10-05-2023,Regular
100178,25,Tehran,20-07-2023,Regular
100179,61,Isfahan,23-06-2023,New
100180,42,Shiraz,01-08-2024,Regular
100181,63,Tabriz,08-05-2024,New
100182,25,Mashhad,17-12-2023,Regular
100183,41,Tehran,29-05-2023,Regular
100184,51,Tabriz,28-11-2024,VIP
100185,41,Tehran,02-06-2025,New
100186,39,Ahvaz,21-08-2023,Regular
100187,25,,30-12-2024,New
100188,36,Shiraz,20-05-2025,Regular
100189,29,Rasht,02-09-2024,Regular
100190,32,Shiraz,20-09-2024,Regular
100191,50,Tabriz,02-07-2023,New
100192,48,Karaj,14-11-2025,Regular
100193,47,Tehran,13-11-2025,Regular
100194,35,Tabriz,18-02-2025,Regular
100195,64,Ahvaz,15-09-2025,Regular
100196,22,Kerman,27-10-2024,Regular
100197,34,Isfahan,25-12-2024,Regular
